"Unique Key","Created Date","Closed Date","Complaint Type","Location"
11829423,"08/14/2008 12:00:00 AM","09/12/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.720424822036875, -73.98633457307703)"
11603902,"07/14/2008 12:00:00 AM","07/14/2008 12:00:00 AM","Noise - Vehicle","(40.67047677535179, -73.8798861725971)"
12642309,"12/06/2008 12:00:00 AM","01/20/2009 12:00:00 AM","ELECTRIC","(40.78785448724175, -73.96939859836996)"
12030985,"09/13/2008 12:00:00 AM","09/14/2008 12:00:00 AM","Noise - Vehicle","(40.71068007492824, -73.87530854290358)"
11679096,"07/24/2008 12:00:00 AM","07/24/2008 12:00:00 AM","Street Light Condition","(40.7320037982969, -73.82451584786384)"
10998134,"04/23/2008 12:00:00 AM","04/23/2008 12:00:00 AM","Sewer","(40.74003476347843, -73.91743839284854)"
12116292,"09/25/2008 12:00:00 AM","10/15/2008 12:00:00 AM","Sewer","(40.63914015053295, -74.02019572742871)"
11174332,"05/15/2008 12:00:00 AM","05/19/2008 12:00:00 AM","General Construction/Plumbing","(40.73979162992409, -73.8660918013046)"
11388432,"06/13/2008 12:00:00 AM","06/13/2008 12:00:00 AM","Water System","(40.86379314688604, -73.91941418303239)"
12804266,"12/29/2008 12:00:00 AM","03/04/2009 12:00:00 AM","ELECTRIC","(40.85640861904781, -73.93006911226374)"
10512953,"02/13/2008 12:00:00 AM","02/13/2008 12:00:00 AM","Blocked Driveway","(40.56456006395766, -74.18123123360408)"
12575240,"11/26/2008 12:00:00 AM","12/09/2008 12:00:00 AM","PLUMBING","(40.70382156307999, -73.88938013994415)"
10557940,"02/20/2008 12:00:00 AM","02/22/2008 12:00:00 AM","HEATING","(40.86943032844845, -73.88355101703765)"
12140797,"09/29/2008 12:00:00 AM","09/29/2008 12:00:00 AM","Sewer","(40.71183866768513, -73.78744464875722)"
11750624,"08/02/2008 12:00:00 AM","08/13/2008 12:00:00 AM","PAINT - PLASTER","(40.869715339576636, -73.89155197227605)"
12109216,"09/24/2008 12:00:00 AM","09/19/2008 12:00:00 AM","Street Light Condition","(40.804673851773785, -73.8858207474304)"
10316382,"01/18/2008 12:00:00 AM","06/30/2008 12:00:00 AM","NONCONST","(40.70068799149064, -73.92043362368067)"
12475575,"11/14/2008 12:00:00 AM","12/04/2008 12:00:00 AM","ELECTRIC","(40.70137165092819, -73.92916060438901)"
12513567,"11/19/2008 12:00:00 AM","11/21/2008 12:00:00 AM","HEATING","(40.835700926691025, -73.88658783428286)"
11712232,"07/28/2008 12:00:00 AM","08/01/2008 12:00:00 AM","ELECTRIC","(40.64962234512845, -73.94554765354334)"
12059996,"09/17/2008 12:00:00 AM","09/25/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.69058646933237, -73.93207845367175)"
10992306,"04/23/2008 12:00:00 AM","04/23/2008 12:00:00 AM","Overgrown Tree/Branches","(40.68770233244286, -73.96376905238733)"
11273260,"05/29/2008 12:00:00 AM","05/30/2008 12:00:00 AM","Street Condition","(40.59613607530672, -73.7926381082735)"
10380616,"01/27/2008 12:00:00 AM","01/27/2008 12:00:00 AM","Noise - Commercial","(40.838536015095094, -73.94159475699887)"
11587665,"07/11/2008 12:00:00 AM","07/30/2008 12:00:00 AM","Broken Parking Meter","(40.623462241097464, -74.03105917262937)"
10386629,"01/28/2008 12:00:00 AM","02/13/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.85665087491274, -73.8889885861798)"
11081897,"05/02/2008 12:00:00 AM","05/29/2008 12:00:00 AM","PLUMBING","(40.72745128822466, -73.98540950016202)"
10687142,"03/10/2008 12:00:00 AM","03/11/2008 12:00:00 AM","HEATING","(40.83087465764216, -73.874942364862)"
12359241,"10/29/2008 12:00:00 AM","11/05/2008 12:00:00 AM","HEATING","(40.863259831950906, -73.87029725288662)"
11209508,"05/21/2008 12:00:00 AM","05/27/2008 12:00:00 AM","PAINT - PLASTER","(40.6695296672721, -73.94435623481826)"
11435937,"06/20/2008 12:00:00 AM","06/24/2008 12:00:00 AM","Sidewalk Condition","(40.65794236874543, -73.90773662250551)"
10880791,"04/06/2008 12:00:00 AM","04/19/2008 12:00:00 AM","Street Condition","(40.82130130804059, -73.88032931774482)"
12178323,"10/03/2008 12:00:00 AM","10/15/2008 12:00:00 AM","Water System","(40.76343405308923, -73.77273932041827)"
11101640,"05/04/2008 12:00:00 AM","05/06/2008 12:00:00 AM","Street Condition","(40.750759061316046, -73.96841949956587)"
11899794,"08/25/2008 12:00:00 AM","10/25/2008 12:00:00 AM","Food Establishment","(40.64385962238123, -74.01162822866611)"
12402967,"11/03/2008 12:00:00 AM","11/06/2008 12:00:00 AM","General Construction/Plumbing","(40.72290412871959, -73.99778848513529)"
10186179,"01/02/2008 12:00:00 AM","01/03/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.684215691560894, -73.87342542596058)"
11520780,"07/01/2008 12:00:00 AM","09/26/2008 12:00:00 AM","Elevator","(40.68776228277301, -73.93723400596147)"
11840272,"08/15/2008 12:00:00 AM","08/15/2008 12:00:00 AM","Street Light Condition","(40.69054316296936, -73.82391459452853)"
11729641,"07/30/2008 12:00:00 AM","08/01/2008 12:00:00 AM","Noise","(40.59171302028469, -73.95956521942355)"
10422957,"02/01/2008 12:00:00 AM","02/11/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.81540181464661, -73.94361649894742)"
11198825,"05/19/2008 12:00:00 AM","05/16/2008 12:00:00 AM","Street Light Condition",""
10637919,"03/03/2008 12:00:00 AM","03/30/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.69071138727672, -73.96636009530222)"
10524516,"02/14/2008 12:00:00 AM","02/14/2008 12:00:00 AM","Derelict Vehicles","(40.55353915839998, -74.21784183604586)"
11292404,"06/02/2008 12:00:00 AM","06/08/2008 12:00:00 AM","GENERAL CONSTRUCTION","(40.84703223662135, -73.93890177984383)"
10916597,"04/12/2008 12:00:00 AM","04/14/2008 12:00:00 AM","Dirty Conditions","(40.74457452568206, -73.97748068257532)"
12208516,"10/09/2008 12:00:00 AM","10/09/2008 12:00:00 AM","General Construction/Plumbing","(40.86117574531414, -73.83714634338651)"
10960703,"04/18/2008 12:00:00 AM","05/07/2008 12:00:00 AM","General Construction/Plumbing","(40.71971043836124, -73.94068156741316)"
11442377,"06/20/2008 12:00:00 AM","06/20/2008 12:00:00 AM","Industrial Waste","(40.57565390411082, -74.10454361480468)"
11309288,"06/04/2008 12:00:00 AM","06/30/2008 12:00:00 AM","Public Payphone Complaint","(40.66995993031118, -73.9088843585991)"
12804158,"12/29/2008 12:00:00 AM","01/14/2009 12:00:00 AM","ELECTRIC","(40.604093227187356, -73.98975798431987)"
10682033,"03/09/2008 12:00:00 AM","04/21/2008 12:00:00 AM","PAINT - PLASTER","(40.830862835417, -73.88744526480014)"
11556816,"07/07/2008 12:00:00 AM","07/07/2008 12:00:00 AM","Overgrown Tree/Branches","(40.68353869660387, -74.00270417130747)"
10552681,"02/19/2008 12:00:00 AM","02/20/2008 12:00:00 AM","Street Light Condition",""
14559560,"01/29/2008 12:00:00 AM","06/02/2008 12:00:00 AM","Graffiti","(40.773171798939224, -73.89365159915948)"
11441750,"06/19/2008 12:00:00 AM","06/19/2008 12:00:00 AM","Traffic Signal Condition","(40.703728137995284, -73.82153904482574)"
10603108,"02/27/2008 12:00:00 AM","02/27/2008 12:00:00 AM","Noise - Street/Sidewalk","(40.7453835620819, -73.99470933975887)"
10355258,"01/23/2008 12:00:00 AM","01/28/2008 12:00:00 AM","HEATING","(40.68361576422668, -73.92920831122284)"
11840029,"08/15/2008 12:00:00 AM","08/21/2008 12:00:00 AM","Traffic Signal Condition",""
11360584,"06/11/2008 12:00:00 AM","06/12/2008 12:00:00 AM","Derelict Vehicle","(40.58179047721217, -74.09926831613183)"
12375631,"10/31/2008 12:00:00 AM","11/03/2008 12:00:00 AM","Food Poisoning","(40.73975142777679, -74.00252241397993)"
15854362,"10/20/2008 12:00:00 AM","10/27/2008 12:00:00 AM","General Construction/Plumbing","(40.74485120118969, -73.99952362785065)"
12756544,"12/22/2008 12:00:00 AM","12/29/2008 12:00:00 AM","HEATING","(40.81975992714972, -73.89265223302553)"
12051051,"09/16/2008 12:00:00 AM","10/03/2008 12:00:00 AM","NONCONST","(40.73815365612636, -74.00902490142289)"
11675988,"07/23/2008 12:00:00 AM","03/22/2009 12:00:00 AM","APPLIANCE","(40.68117575847502, -73.90973794420464)"
11992958,"09/08/2008 12:00:00 AM","09/17/2008 12:00:00 AM","NONCONST","(40.59033795637512, -73.7860563231286)"
11156655,"05/13/2008 12:00:00 AM","05/13/2008 12:00:00 AM","PLUMBING","(40.76598813505067, -73.9909893769514)"
11139019,"05/11/2008 12:00:00 AM","07/14/2008 12:00:00 AM","Taxi Complaint","(40.911326923115624, -73.90655995025179)"
12767678,"12/22/2008 12:00:00 AM","01/05/2009 12:00:00 AM","Water System","(40.71035763967656, -74.0069651409614)"
10526153,"02/14/2008 12:00:00 AM","02/14/2008 12:00:00 AM","Street Light Condition","(40.660611024380756, -73.94261197318197)"
11306885,"06/04/2008 12:00:00 AM","05/29/2009 12:00:00 AM","Root/Sewer/Sidewalk Condition","(40.8957071496032, -73.84338438983278)"
12821736,"12/31/2008 12:00:00 AM","01/05/2009 12:00:00 AM","HEATING","(40.80114099625424, -73.93467098566778)"
11338731,"06/08/2008 12:00:00 AM","06/10/2008 12:00:00 AM","Water System","(40.58782294363951, -74.10307930180183)"
11009193,"04/24/2008 12:00:00 AM","04/24/2008 12:00:00 AM","Electrical","(40.82120590774512, -73.86596410370296)"
12267310,"10/19/2008 12:00:00 AM","10/24/2008 12:00:00 AM","HEATING","(40.641162742829806, -73.95825248933495)"
12107044,"09/24/2008 12:00:00 AM","04/03/2009 12:00:00 AM","PLUMBING","(40.904074303028125, -73.84438843412902)"
12549646,"11/23/2008 12:00:00 AM","07/13/2011 12:00:00 AM","Consumer Complaint","(40.7916374176834, -73.97211986741438)"
